Sr#,Project_Title,Approval_Status,Approved_Date,Total_Cost,Foreign Loan,Expenditure_2024,Throwforward_2025,Rupee_Funding,Allocation_2024_25,Type,Ministry,Utilization%,Approval_Year,Approval_Month
509,Blacktop Road at Various Places in Khuzdar city,DDWP,2023-06-26,213.521,0.0,128.0,85.521,85.521,85.521,On-going,HOUSING & WORKS DIVISION,59.94726514,2023.0,6.0
510,Cutting and improvement if Kacha Road Highway to Aranji via Awak including structure works Distrcit Khuzdar Tehsil Wadh,DDWP,2023-06-26,295.0,0.0,120.0,175.0,50.0,50.0,On-going,HOUSING & WORKS DIVISION,40.6779661,2023.0,6.0
511,Construction/Rehabilitation of Black Top Road in 07 Killis of District Nushki,DDWP,2023-06-26,100.0,0.0,64.0,36.0,36.0,36.0,On-going,HOUSING & WORKS DIVISION,64.0,2023.0,6.0
512,Solarization of existing tubewells/bores for Agriculture purpose in various killis of District Kharan,DDWP,2023-06-26,100.0,0.0,64.0,36.0,36.0,36.0,On-going,HOUSING & WORKS DIVISION,64.0,2023.0,6.0
513,Community home solar energy system & Agriculture cum water supply schemes in various Killis of District Chaghi,DDWP,2023-06-26,150.0,0.0,96.0,54.0,54.0,54.0,On-going,HOUSING & WORKS DIVISION,64.0,2023.0,6.0
514,"Public Sector Development Program for Community Home Solar Energy System in Various Killis Tehsil Duki,  Tehsil Bori, Tehsil Loralai District Loralai Tehsil District Barkhan, District Duki and Tehsil District Musakhail.",DDWP,2023-01-06,399.979,0.0,255.987,143.992,93.922,93.922,On-going,HOUSING & WORKS DIVISION,64.00011001,2023.0,1.0
515,"Construction of internal  roads In Kuchlaak And Surrounding Areas, District Quetta.",DDWP,2023-05-05,392.81,0.0,251.398,141.412,61.412,61.412,On-going,HOUSING & WORKS DIVISION,63.99989817,2023.0,5.0
516,"Construction of internal roads At Panjpai, Aghbarg, Chashma & surrounding areas of District Quetta (at reduced cost of Rs 357.19 mn only against approved cost of Rs 476.89 Mn)",DDWP,2023-05-05,357.19,0.0,228.602,128.588,68.588,68.588,On-going,HOUSING & WORKS DIVISION,64.00011199,2023.0,5.0
517,"Public Sector Development Program for Community Home Solar Energy System in Various Killis of District Killa Saifullah, Zhob and Sherani. (Package-1)",DDWP,2023-05-05,499.856,0.0,149.958,349.898,30.0,30.0,On-going,HOUSING & WORKS DIVISION,30.00024007,2023.0,5.0
518,Restoration/ Rehabilitation of Flood Damaged Agriculture Tube Wells in Various Killis of Tehsil and District Zhob and Sherani (at reduced cost of Rs 250 Mn against approved cost of Rs 499.26 Mn),DDWP,2022-08-29,250.0,0.0,75.0,175.0,30.0,30.0,On-going,HOUSING & WORKS DIVISION,30.0,2022.0,8.0
519,Infrastructure Development in Tehsil Yazman District Bahawalpur (12 Nos),DDWP,2023-06-26,750.0,0.0,480.0,270.0,270.0,270.0,On-going,HOUSING & WORKS DIVISION,64.0,2023.0,6.0
520,Construction of Cat-D Hospital at Azam Warsak Tehsil Birmal SWTD Wana,DDWP,2023-05-05,994.63,0.0,70.0,924.63,300.0,300.0,On-going,HOUSING & WORKS DIVISION,7.037792948,2023.0,5.0
521,Public Sector Development Program for Community Home Solar Energy System in Various Killis of District Pishin.,DDWP,2023-05-05,499.856,0.0,149.957,349.899,50.0,50.0,On-going,HOUSING & WORKS DIVISION,30.00004001,2023.0,5.0
522,Public Sector Development Program for Agriculture cum Water Supply in Various Killis of District Pishin and Solarization of B.H.Us & Mosques District Pishin.(at reduced cost of Rs 250 mn against approved cost of Rs 497.361 Mn),DDWP,2023-05-05,250.0,0.0,75.0,175.0,50.0,50.0,On-going,HOUSING & WORKS DIVISION,30.0,2023.0,5.0
523,"Community Home Solar Energy System in Tehsil Amori, Taftan, Dalbandin, Chilghazai and Chaghi District Chaghi",DDWP,2023-05-05,492.184,0.0,200.0,292.184,50.0,50.0,On-going,HOUSING & WORKS DIVISION,40.6352096,2023.0,5.0
524,Construction of B/T Road in Municiple Corporation Khuzdar,DDWP,2023-06-26,400.0,0.0,64.0,336.0,73.925,73.925,On-going,HOUSING & WORKS DIVISION,16.0,2023.0,6.0
525,"Rehabilitation / improvement of road from Dugri to Satra Sindhwan, Tehsil Daska, District Sialkot",DDWP,2023-06-26,177.42,0.0,100.0,77.42,77.42,77.42,On-going,HOUSING & WORKS DIVISION,56.36343141,2023.0,6.0
526,"Construction/Improvement of Carpet Road/Nala from Chak No.363/GB to Awan Chowk, 541/GB, 603/GB, 621/GB, 549/GB Mouza Khai, Mouza Kili, 618/GB, 545/GB and 612/GB Tehsil Tandlianwala District Faisalabad",DDWP,2023-06-26,250.0,0.0,100.0,150.0,150.0,150.0,On-going,HOUSING & WORKS DIVISION,40.0,2023.0,6.0
527,"Urban sewerage / drainage, PCC and Tuff Tile Street for Zone-D Gojra City, Tehsil Gojra, District Toba Tek Singh",DDWP,2023-03-30,404.389,0.0,100.0,304.389,304.389,304.389,On-going,HOUSING & WORKS DIVISION,24.72866473,2023.0,3.0
528,"Const / Rehb. of Metalled Road of Khairpur Tamay Wali Road, Mouza Jindo Shah, Chak Ladhy Wala & Basti Rana Islam, District Bahawalpur (06 Nos Schemes)",DDWP,2023-02-28,939.878,0.0,525.838,414.04,214.04,214.04,On-going,HOUSING & WORKS DIVISION,55.94747403,2023.0,2.0
529,"Construction of IB Offices (03) at Ghallanai TD Mohmand, Kohat and D.I Khan",DDWP,2023-06-26,149.0,0.0,5.0,144.0,144.0,144.0,On-going,HOUSING & WORKS DIVISION,3.355704698,2023.0,6.0
530,"Replacement of old and unserviceable elevators with new elevators at Shaheed-e-Millat Secretariat Building, Islamabad.",DDWP,2019-07-05,54.23,0.0,0.599,53.631,53.631,53.631,On-going,HOUSING & WORKS DIVISION,1.104554675,2019.0,7.0
531,Construction of 12 Nos. Apartments in Minister's Enclave Islamabad.,DDWP,2021-04-28,313.935,0.0,181.213,132.722,132.722,132.722,On-going,HOUSING & WORKS DIVISION,57.72309555,2021.0,4.0
532,Construction Of NAB Complex Lahore (2nd Revised PC-I),Approved,,643.56,0.0,400.0,243.56,50.0,50.0,On-going,HOUSING & WORKS DIVISION,62.15426689,,
533,Construction  of officers Mess at NAB Complex Lahore,DDWP,2020-02-03,208.856,0.0,16.5,192.356,50.0,50.0,On-going,HOUSING & WORKS DIVISION,7.900180028,2020.0,2.0
534,"Upgradation of Pak PWD Complex G-9/1, Islamabad (Revised PC-I)",DDWP,,603.94,0.0,199.0,404.94,150.0,150.0,On-going,HOUSING & WORKS DIVISION,32.95029308,,
535,"Construction of Park at Car Bazar, UC-06, District Central Karachi (at reduced cost of Rs 265.843 mn only against approved cost of Rs 283.078 Mn)",DDWP,2021-04-28,265.843,0.0,12.41,253.433,253.433,253.433,On-going,HOUSING & WORKS DIVISION,4.668168806,2021.0,4.0
536,"Construction of Park Asian Football Ground UC-07, District Central Karachi",DDWP,2021-04-28,99.497,0.0,0.049,99.448,99.448,99.448,On-going,HOUSING & WORKS DIVISION,0.049247716,2021.0,4.0
537,"Missing Facilities, Toilets of Various Schools of Mand",DDWP,2023-06-26,80.0,0.0,15.384,64.616,64.0,64.0,On-going,HOUSING & WORKS DIVISION,19.23,2023.0,6.0
538,Construction of additional class rooms & Examination Centre/ Multipurpose hall at different schools Distrcit Quetta-3,DDWP,2023-06-26,100.0,0.0,35.0,65.0,65.0,65.0,On-going,HOUSING & WORKS DIVISION,35.0,2023.0,6.0
539,Construction of 50 Nos. Solar Water Supply Schemes in District Khuzdar,DDWP,2023-06-26,400.0,0.0,12.013,387.987,237.987,237.987,On-going,HOUSING & WORKS DIVISION,3.00325,2023.0,6.0
540,Construction of Road and PCC Street at Distrcit Lakki Marwat,DDWP,2023-01-06,350.0,0.0,56.774,293.226,193.0,193.0,On-going,HOUSING & WORKS DIVISION,16.22114286,2023.0,1.0
541,Construction of PCC Roads and Drain at District Tank,DDWP,2023-05-05,594.49,0.0,508.0,86.49,86.49,86.49,On-going,HOUSING & WORKS DIVISION,85.45139531,2023.0,5.0
542,Installation of Pressure Pumps / Tubewells in District Bannu,DDWP,2023-06-26,750.0,0.0,0.514,749.486,230.0,230.0,On-going,HOUSING & WORKS DIVISION,0.068533333,2023.0,6.0
543,Const.  of Road from Essa Morr to Siddiquepura (Phase-I & II),DDWP,2023-06-26,900.0,0.0,44.0,856.0,500.0,500.0,On-going,HOUSING & WORKS DIVISION,4.888888889,2023.0,6.0
544,Const.  of Road from  Chaal to Dholan Morr via Nonar Musalmania Kila Ahmed Abad (Phase-I & II),DDWP,2023-06-26,900.0,0.0,44.0,856.0,500.0,500.0,On-going,HOUSING & WORKS DIVISION,4.888888889,2023.0,6.0
545,Construction of Carpet Road from Tatlay Aali to Nowshera Virkan via Mari Bhindran District Gujranwala,DDWP,2023-01-06,549.412,0.0,29.972,519.44,519.44,519.44,On-going,HOUSING & WORKS DIVISION,5.455286743,2023.0,1.0
546,"Inclusion of Road from Adda Gulbahar to Chapar Marakiwal and Link Roads, District Sialkot",DDWP,2023-06-26,380.0,0.0,35.361,344.639,346.19,346.19,On-going,HOUSING & WORKS DIVISION,9.305526316,2023.0,6.0
547,"Construction of carpet road from Mari Bhindran to Ghumman Wala, District Gujranwala",DDWP,2023-02-28,549.412,0.0,20.0,529.412,480.03,480.03,On-going,HOUSING & WORKS DIVISION,3.6402554,2023.0,2.0
548,"Construction of Road from Bhagwal Awan to Dabola via Kotli Bhutta Roras Road with Link Infrastructure, District Sialkot-V",DDWP,2023-01-06,289.46,0.0,20.0,269.46,269.46,269.46,On-going,HOUSING & WORKS DIVISION,6.909417536,2023.0,1.0
549,Construction of Road from Juriyan Kalan to Malke Kalan via Olakh Awan & Malo Chak with Link Infrastructure District Sialkot-V,DDWP,2023-01-06,366.823,0.0,20.0,346.823,346.823,346.823,On-going,HOUSING & WORKS DIVISION,5.452220826,2023.0,1.0
550,Infrastructure Development in District Gujrat,DDWP,2023-06-26,750.0,0.0,0.0,750.0,229.085,229.085,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
551,"Construction of Carpet road in Different UCs and Contonment Board Areas, District Multan",DDWP,2023-06-26,200.0,0.0,0.0,200.0,197.0,197.0,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
552,"Construction of Sewerage, Soling, Re-soling Drain and Sludge Carrier in Differenct UCs and Contonment Board Areas, District Multan",DDWP,2023-06-26,490.0,0.0,0.0,490.0,286.5,286.5,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
553,"Construction of Mettaled Road 20 feet Wide, Bhatta Chowk to Ahmadpur, District Bahawalpur (10 Km)",DDWP,2023-06-26,320.0,0.0,0.0,320.0,204.038,204.038,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
554,"Construction / Widening of Kacha Pakka Noor Shah Road, District Sahiwal",DDWP,2023-06-26,569.97,0.0,0.0,569.97,419.79,419.79,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
555,"Construction of Park near Al-Khair School, UC-09, District Central Karachi",DDWP,2021-04-28,64.233,0.0,0.0,64.233,64.233,64.233,New,HOUSING & WORKS DIVISION,0.0,2021.0,4.0
556,"Construction of Daud Ground behind Makhdoomin Masjid UC- 10, District Central Karachi",DDWP,2021-04-28,133.764,0.0,0.0,133.764,133.764,133.764,New,HOUSING & WORKS DIVISION,0.0,2021.0,4.0
557,"Construction of Computer Institute behind UC-06, District Central Karachi",DDWP,2021-04-28,46.398,0.0,0.0,46.398,46.398,46.398,New,HOUSING & WORKS DIVISION,0.0,2021.0,4.0
558,"Construction of Cricket Stadium at St-15, Sector 5A-4, District Central Karachi",DDWP,2021-04-28,57.74,0.0,0.0,57.74,57.74,57.74,New,HOUSING & WORKS DIVISION,0.0,2021.0,4.0
559,"Construction of IT & Computer Diploma Center at St-22 Gulshan Saeed, District Central Karachi",DDWP,2021-04-28,82.525,0.0,0.0,82.525,82.525,82.525,New,HOUSING & WORKS DIVISION,0.0,2021.0,4.0
560,Rehabilitation of Mian existing nala from Sattar shah Park to Odian plaza via Nishat chowck Hyderabad,DDWP,2022-08-29,270.0,0.0,0.0,270.0,270.0,270.0,New,HOUSING & WORKS DIVISION,0.0,2022.0,8.0
561,Construction of Government Girls Degree College Buildings &,DDWP,2022-08-29,493.585,0.0,0.0,493.585,343.585,343.585,New,HOUSING & WORKS DIVISION,0.0,2022.0,8.0
562,"Rehabilitation of Infrastructure Works (Constructin of road, waterline, sewerage system, parks & playgrounds, CC-tuff) Orangi Town District West Karachi",DDWP,2023-06-26,750.0,0.0,0.0,750.0,500.0,500.0,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
563,"Rehabilitation of Infrastructure Works (Constructin of roads, foorpath, water suppy, sewerage, public parks & playgrounds) in Nazimabad and Liaqatabad in District Central Karachi",DDWP,2023-06-26,750.0,0.0,0.0,750.0,500.0,500.0,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
564,"Improvement / Rehabilitation of Different Roads, Water Supply, Sewerage, Parks and Playground in Landhi Town, Zaman Town, Korangi Town, District  Karachi",DDWP,2023-06-26,750.0,0.0,0.0,750.0,500.0,500.0,New,HOUSING & WORKS DIVISION,0.0,2023.0,6.0
565,Construction of Office for IB at District Chaman.,DDWP,2024-03-28,60.25,0.0,0.0,60.25,25.0,25.0,New,HOUSING & WORKS DIVISION,0.0,2024.0,3.0
566,Construction of Office for IB at Pishin.,DDWP,2024-03-28,60.25,0.0,0.0,60.25,25.0,25.0,New,HOUSING & WORKS DIVISION,0.0,2024.0,3.0
567,Construction of Office Building for IB at Mastung.,DDWP,2024-03-28,89.48,0.0,0.0,89.48,35.0,35.0,New,HOUSING & WORKS DIVISION,0.0,2024.0,3.0
568,Construction of Office for IB at Dassu,DDWP,2024-03-28,129.234,0.0,0.0,129.234,45.0,45.0,New,HOUSING & WORKS DIVISION,0.0,2024.0,3.0
569,"Construction of office building of IB in Diplomatic Enclave, Islamabad",DDWP,2024-03-28,403.776,0.0,0.0,403.776,150.0,150.0,New,HOUSING & WORKS DIVISION,0.0,2024.0,3.0
570,Construction of Election Commission Academy and Other Offices of Election Commission of Pakistan,CDWP,2024-07-06,1994.81,0.0,0.0,1994.81,400.0,400.0,New,HOUSING & WORKS DIVISION,0.0,2024.0,7.0
571,Establishment of Human Rights Information Management System (HRIMS),DDWP,2019-12-09,67.85,58.503,9.347,0.0,8.4,0.0,On-going,HUMAN RIGHTS DIVISION,13.77597642,2019.0,12.0
572,Establishment of Project Planning and Monitoring Unit in MOHR (PMU),DDWP,2021-05-25,75.0,29.948,45.052,0.0,20.0,0.0,On-going,HUMAN RIGHTS DIVISION,60.06933333,2021.0,5.0
573,Establishment of Sub-Office of Human Rights in Newly Merged Districts of Khyber Pakhtunkhwa,DDWP,2021-05-25,65.0,19.544,45.456,0.0,14.0,0.0,On-going,HUMAN RIGHTS DIVISION,69.93230769,2021.0,5.0
574,Human Rights Awareness Programme,DDWP,2019-12-09,55.0,46.085,8.915,0.0,8.9,0.0,On-going,HUMAN RIGHTS DIVISION,16.20909091,2019.0,12.0
575,Human Rights Coordination and Monitoring Unit for National Mechanism for Reporting and Follow-up (NMRF),DDWP,2020-06-05,43.9,26.635,17.265,0.0,13.581,0.0,On-going,HUMAN RIGHTS DIVISION,39.32801822,2020.0,6.0
576,Institutional Strengthening of MoHR (Revised),DDWP,2023-03-31,90.0,75.676,14.324,0.0,14.324,0.0,On-going,HUMAN RIGHTS DIVISION,15.91555556,2023.0,3.0
577,Pilot Project for the Establishment of Transgender Protection Centre Islamabad,DDWP,2020-06-05,35.8,26.923,8.877,0.0,13.0,0.0,On-going,HUMAN RIGHTS DIVISION,24.79608939,2020.0,6.0
578,"Acquisition Of Land, Feasibly Study, Detail Designing, Construction Of Boundary Wall & Guard Room For The Project Construction Of Child Protection Institute On Plot No. 81 At Sector H-11/4 Islamabad",DDWP,2023-03-31,92.282,80.487,11.795,0.0,11.795,0.0,On-going,HUMAN RIGHTS DIVISION,12.78147418,2023.0,3.0
579,1000 Industrial Stitching Units Phase-II (All over Pakistan),CDWP,2018-01-15,350.545,0.0,273.391,77.154,77.154,77.154,On-going,INDUSTRIES & PRODUCTION DIVISION,77.99027229,2018.0,1.0
580,Business Skill Development Center for Women at Dera Ismail Khan,DDWP,2021-01-06,59.493,0.0,48.297,11.196,11.196,11.196,On-going,INDUSTRIES & PRODUCTION DIVISION,81.18097927,2021.0,1.0
581,"Development of Karachi Industrial Park on 1500 Acres of PSM Land at Karachi including Feasibility, Karachi",CDWP,2021-04-06,400.0,0.0,191.0,209.0,209.0,209.0,On-going,INDUSTRIES & PRODUCTION DIVISION,47.75,2021.0,4.0
582,"Establishment of 132 KV Grid Station At Bin Qasim Industrial Park (BQIP), Karachi",CDWP,2022-04-28,3601.3,0.0,2297.81,1303.49,1303.49,1303.49,On-going,INDUSTRIES & PRODUCTION DIVISION,63.80501486,2022.0,4.0
583,"Establishment of High Tensile Sheet Metal Dies Manufacturing and Titanium Coating Setup at KTDMC, Karachi",DDWP,2021-01-06,400.0,0.0,176.87,223.13,223.13,223.13,On-going,INDUSTRIES & PRODUCTION DIVISION,44.2175,2021.0,1.0
584,"Establishment of Hub Special Economic Zone, Lasbela Balochistan",CDWP,2021-11-29,3008.18,0.0,770.78,2237.4,750.0,750.0,On-going,INDUSTRIES & PRODUCTION DIVISION,25.62280183,2021.0,11.0
585,"Industrial Designing & Automation Centers Karachi, Lahore and Sialkot",DDWP,2020-02-14,1089.87,0.0,497.56,592.31,300.0,300.0,On-going,INDUSTRIES & PRODUCTION DIVISION,45.65315129,2020.0,2.0
586,National Strategic Programme for Acquisition of Industrial Technology (NSPAIT) including feasibility Knowledge Economy Initiative,CDWP,2021-11-29,3206.89,0.0,360.139,2846.75,300.0,300.0,On-going,INDUSTRIES & PRODUCTION DIVISION,11.2301638,2021.0,11.0
587,"Product Development Center for Composites Based Sports Goods, Sialkot",CDWP,2017-10-19,529.77,0.0,427.333,102.437,102.437,102.437,On-going,INDUSTRIES & PRODUCTION DIVISION,80.663873,2017.0,10.0
588,"Research, Regulatory Insight & Advocacy Assistance for SMEs (RRI&A), Lahore",DDWP,2021-01-06,200.0,0.0,98.147,101.853,80.0,80.0,On-going,INDUSTRIES & PRODUCTION DIVISION,49.0735,2021.0,1.0
589,"Support Centre for Surgical and Dental Implants (SCDS), Sialkot",DDWP,2021-01-06,720.35,0.0,236.381,483.969,250.0,250.0,On-going,INDUSTRIES & PRODUCTION DIVISION,32.81474283,2021.0,1.0
590,Strengthening the Engineering Industry,DDWP,2022-05-31,458.222,0.0,48.25,409.972,200.0,200.0,On-going,INDUSTRIES & PRODUCTION DIVISION,10.52983052,2022.0,5.0
591,Acquisition of Land for Establishment of SME facilitation centres at various locations,DDWP,2022-04-13,1250.0,0.0,168.456,1081.54,462.289,462.289,On-going,INDUSTRIES & PRODUCTION DIVISION,13.47648,2022.0,4.0
592,Central Monitoring Unit (CMU),DDWP,2022-05-28,1463.26,0.0,760.207,703.055,703.055,703.055,On-going,INFORMATION & BROADCASTING DIVISION,51.95296803,2022.0,5.0
593,National Information Media Archival Repository (NIMAR),DDWP,2022-06-24,2966.14,0.0,888.504,2077.64,1627.64,1627.64,On-going,INFORMATION & BROADCASTING DIVISION,29.95489087,2022.0,6.0
594,Rehabilitation of Medium Wave Services from Khairpur (PBC),DDWP,2022-05-28,902.357,0.0,244.0,658.357,658.357,658.357,On-going,INFORMATION & BROADCASTING DIVISION,27.04029558,2022.0,5.0
595,Establishment of National Film Production Institute at PTV Academy,CDWP,2023-02-03,400.0,0.0,75.791,324.209,324.209,324.209,On-going,INFORMATION & BROADCASTING DIVISION,18.94775,2023.0,2.0
596,"Upgradation of HPT Rawat, Transmittting Station by installing 1000 KW DRM-enabled MW Transmitter",CDWP,2023-06-23,3850.0,0.0,90.0,3760.0,50.0,50.0,On-going,INFORMATION & BROADCASTING DIVISION,2.337662338,2023.0,6.0
597,Establishment of Sautul Quran FM Network Phase-III for 30 more cities (PBC),DDWP,2024-05-23,534.628,0.0,0.0,534.628,534.628,534.628,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,5.0
598,Establishment of National Communication and Strategy Unit (Think Tank),DDWP,2024-05-23,204.0,0.0,0.0,204.0,100.0,100.0,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,5.0
599,Citizen Collaboration Facilitation Center (CCFC),DDWP,2024-06-28,425.563,0.0,0.0,425.563,150.0,150.0,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,6.0
600,Revamping of PTVC,CDWP,2024-06-26,1969.92,0.0,0.0,1969.92,1000.0,1000.0,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,6.0
601,Development and Strengthening of the Office of the Press Registrar (OPR),DDWP,2024-05-23,20.443,0.0,0.0,20.443,20.443,20.443,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,5.0
602,Digital Advertisement Verification System (CDC),DDWP,2024-05-23,36.954,0.0,0.0,36.954,36.954,36.954,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,5.0
603,Establishment of Dedicated PID Media Cell to Counter Violent Extremism (Phase-I),DDWP,2024-05-23,191.623,0.0,0.0,191.623,100.0,100.0,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,5.0
604,Upgradation and replacement of 300 KW Medium Wave Transmitter at HPT Khuzdar Balochistan (PBC),CDWP,2024-06-26,1540.0,0.0,0.0,1540.0,450.0,450.0,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,6.0
605,Upgradation and replacement of 100 KW Medium Wave Transmitter at HPT Quetta Balochistan (PBC),CDWP,2024-06-26,1068.98,0.0,0.0,1068.98,403.966,403.966,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,6.0
606,Rehabilitation of PBC Peshawar Building,DDWP,2024-05-23,140.747,0.0,0.0,140.747,140.747,140.747,New,INFORMATION & BROADCASTING DIVISION,0.0,2024.0,5.0
607,Smart Office Federal Ministries & Departments (NITB),DDWP,2023-09-14,572.8,0.0,572.0,0.8,300.0,300.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,99.8603352,2023.0,9.0
608,Certification of IT Professionals (PSEB),DDWP,2024-05-20,901.25,0.0,627.829,273.421,100.0,100.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,69.66202497,2024.0,5.0
609,Crime Analytics & Smart Policing in Pakistan (PITB),DDWP,2023-09-14,274.36,0.0,142.4,131.96,80.0,80.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,51.90260971,2023.0,9.0
610,Cyber Security for Digital Pakistan (NTISB),DDWP,2021-03-31,1922.86,0.0,556.0,1366.86,500.0,500.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,28.91526164,2021.0,3.0
611,Establishment of 25 STPs in Pakistan Phase-I (PSEB),DDWP,2021-05-26,473.028,0.0,178.149,294.879,175.0,175.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,37.66140694,2021.0,5.0
612,Establishment of IT Park at Karachi (PSEB),ECNEC,2021-06-04,31199.89,26479.23,874.316,30325.57,300.0,6087.86,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,2.802304752,2021.0,6.0
613,High Impact Skills Bootcamp (MoITT),CDWP,2021-05-04,415.075,0.0,180.0,235.075,80.0,80.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,43.36565681,2021.0,5.0
614,Hybrid Power Solution (Solarization) for Remote Sites of SCO in AJ&K (SCO),DDWP,2021-03-31,710.0,0.0,488.958,221.042,221.042,221.042,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,68.86732394,2021.0,3.0
615,Hybrid Power Solution (Solarization) for Remote Sites of SCO in GB (SCO),DDWP,2021-03-31,695.0,0.0,488.903,206.097,206.097,206.097,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,70.3457554,2021.0,3.0
616,One Patient One ID (NITB),DDWP,2024-05-20,200.247,0.0,75.0,125.247,35.0,35.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,37.45374463,2024.0,5.0
617,Project Monitoring and Digital Transformation Cell  (MoITT),DDWP,2022-05-19,444.337,0.0,153.0,291.337,100.0,100.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,34.43332426,2022.0,5.0
618,Technology Park Development Project (TDP) Islamabad (MoITT),ECNEC,2016-04-20,13727.07,11797.63,7694.63,6032.44,600.0,8630.79,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,56.05442385,2016.0,4.0
619,Expansion of GPON FTTH Services in New & Existing Cities. (SCO,DDWP,2022-06-21,567.0,0.0,397.788,169.212,169.212,169.212,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,70.15661376,2022.0,6.0
620,Blended Virtual Education Project for Knowledge Economy All over Pakistan (VU),CDWP,2020-09-06,5590.26,0.0,346.1,5244.16,150.0,150.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,6.191125279,2020.0,9.0
621,Expansion of GPON FTTH Services in Existing 11 Cities. (SCO),DDWP,2023-06-27,780.0,0.0,275.0,505.0,200.0,200.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,35.25641026,2023.0,6.0
622,"Prime Minister's Initiatives-Support for the IT Startups, Specialized IT Training and Venture Capital (IGNITE & PSEB)",CDWP,2023-12-27,5000.0,0.0,22.122,4977.88,1500.0,1500.0,On-going,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,0.44244,2023.0,12.0
623,Digital Economy Enhancement Project (WB. Funded) (MoITT/BoI/NITB/NADRA),ECNEC,2023-02-18,17470.75,17470.75,0.0,17470.75,0.0,3500.0,New,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,0.0,2023.0,2.0
624,Expansion of Cellular Services in AJK and GB Phase-IV (SCO),CDWP,2024-07-06,1997.0,0.0,0.0,1997.0,194.0,194.0,New,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,0.0,2024.0,7.0
625,NGMS Core Upgradation (SCO),DDWP,2024-05-20,715.0,0.0,0.0,715.0,100.0,100.0,New,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,0.0,2024.0,5.0
626,National Semiconductor HR Development Program (NSHRDP) Phase-I (IT Wing),CDWP,2024-07-06,8149.0,0.0,0.0,8149.0,800.0,800.0,New,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,0.0,2024.0,7.0
627,Revamping IT Industry Landscape (PSEB),CDWP,2024-07-06,9959.55,43.2,0.0,9959.55,800.0,800.0,New,INFORMATION TECHNOLOGY & TELECOMMUNICATION DIVISION,0.0,2024.0,7.0
628,"Construction / Rehabilitation / Revamping of Roads, Footpaths, Main Gate / Security System and Landscaping at PSC, Islamabad",DDWP,2021-05-19,343.547,0.0,283.418,60.129,60.0,60.0,On-going,INTER PROVINCIAL COORDINATION DIVISION,82.4975913,2021.0,5.0
629,"Establishment of Bio Mechanical Lab at Pakistan Sports Complex, Islamabad",DDWP,2020-11-12,169.38,0.0,48.645,120.735,120.735,120.735,On-going,INTER PROVINCIAL COORDINATION DIVISION,28.7194474,2020.0,11.0
630,Hiring of Foreign Coaches for Training of National Athletes For Participation in the Mega Events & Purchase of Sports Equipment,DDWP,2022-02-15,463.5,0.0,187.17,276.33,160.0,160.0,On-going,INTER PROVINCIAL COORDINATION DIVISION,40.38187702,2022.0,2.0
631,"Laying of Synthetic Athletic Track/ Football Ground, Sprinkling System and Flood Lights at PSB Coaching Centre, Karachi",DDWP,2021-05-19,350.0,0.0,45.107,304.893,104.893,104.893,On-going,INTER PROVINCIAL COORDINATION DIVISION,12.88771429,2021.0,5.0
